Pergunta,Resposta
Qual foi o palco da final da Liga dos Campeões da UEFA de 2024-25?,"A final foi disputada na Allianz Arena, em Munique, Alemanha."
Quem conquistou o título da Liga dos Campeões da UEFA de 2024-25?,O Paris Saint-Germain venceu a Liga dos Campeões da UEFA de 2024-25.
Qual foi o placar da final da Liga dos Campeões da UEFA de 2024-25?,O Paris Saint-Germain venceu o Internazionale por 5–0 na final da Liga dos Campeões da UEFA de 2024-25.
Quais foram os artilheiros da Liga dos Campeões da UEFA de 2024-25?,"Serhou Guirassy e Raphinha foram os artilheiros da Liga dos Campeões da UEFA de 2024-25, ambos com 13 gols."
Qual equipe teve o melhor ataque na fase inicial da Liga dos Campeões da UEFA de 2024-25?,"O Barcelona teve o melhor ataque na fase inicial da Liga dos Campeões da UEFA de 2024-25, com 28 gols marcados."
Qual equipe teve a melhor defesa na fase inicial da Liga dos Campeões da UEFA de 2024-25?,"O Internazionale teve a melhor defesa na fase inicial da Liga dos Campeões da UEFA de 2024-25, sofrendo apenas 1 gol."
Qual foi a maior goleada da Liga dos Campeões da UEFA de 2024-25?,A maior goleada da Liga dos Campeões da UEFA de 2024-25 foi Bayern de Munique 9–2 Dínamo Zagreb.
Quem foi eleito o melhor jogador da Liga dos Campeões da UEFA de 2024-25?,"Ousmane Dembélé, do Paris Saint-Germain, foi eleito o melhor jogador da Liga dos Campeões da UEFA de 2024-25."
Quem foi eleito o melhor jogador jovem da Liga dos Campeões da UEFA de 2024-25?,"Désiré Doué, do Paris Saint-Germain, foi eleito o melhor jogador jovem da Liga dos Campeões da UEFA de 2024-25."
Qual é o novo formato da Liga dos Campeões da UEFA que estreou na temporada 2024-25?,"A temporada 2024-25 da Liga dos Campeões da UEFA foi disputada num novo formato aprovado em maio de 2022, com 36 equipes na fase de liga."
Quais foram as premiações que o Paris Saint-Germain recebeu ao vencer a Liga dos Campeões da UEFA de 2024-25?,"O Paris Saint-Germain se classificou automaticamente para a Liga dos Campeões da UEFA de 2025–26 e a Copa Intercontinental da FIFA de 2025, além de ganhar o direito de jogar contra os vencedores da Liga Europa da UEFA de 2024–25 na Supercopa da UEFA de 2025 e disputar a segunda edição do quadrienal Mundial de Clubes FIFA, em 2029."
Quantas equipes de cada associação entre 1 e 5 participam da Liga dos Campeões da UEFA?,As associações 1–5 têm quatro equipes cada na Liga dos Campeões da UEFA.
Quantas equipes a Associação 6 tem na Liga dos Campeões da UEFA?,A Associação 6 tem três equipes na Liga dos Campeões da UEFA.
Quantas equipes as associações 7–15 têm na Liga dos Campeões da UEFA?,As associações 7–15 têm duas equipes cada na Liga dos Campeões da UEFA.
Quantas equipes as associações 16–55 (exceto Liechtenstein e Rússia) têm na Liga dos Campeões da UEFA?,As associações 16–55 (exceto Liechtenstein e Rússia) têm uma equipe cada na Liga dos Campeões da UEFA.
Quais associações ganharam vagas extras na fase da liga da Liga dos Campeões 2024-25 com base no desempenho da temporada 2023-24?,Alemanha e Itália ganharam cada uma uma vaga extra na fase da liga da Liga dos Campeões 2024-25 com base no desempenho da temporada 2023-24.
Qual foi o coeficiente da associação da Inglaterra para a Liga dos Campeões da UEFA de 2024–25?,O coeficiente da associação da Inglaterra para a Liga dos Campeões da UEFA de 2024–25 foi de 109.570.
Qual foi o coeficiente da associação da Espanha para a Liga dos Campeões da UEFA de 2024–25?,O coeficiente da associação da Espanha para a Liga dos Campeões da UEFA de 2024–25 foi de 92.998.
Qual foi o coeficiente da associação da Alemanha para a Liga dos Campeões da UEFA de 2024–25?,O coeficiente da associação da Alemanha para a Liga dos Campeões da UEFA de 2024–25 foi de 82.481.
Qual foi o coeficiente da associação da Itália para a Liga dos Campeões da UEFA de 2024–25?,O coeficiente da associação da Itália para a Liga dos Campeões da UEFA de 2024–25 foi de 81.926.
